b g r count
0 0 37 1
0 0 40 1
0 0 41 1
0 0 42 1
0 0 44 1
0 0 45 1
0 0 46 1
0 0 47 1
0 0 48 6
0 0 49 7
0 0 50 7
0 0 51 8
0 0 52 1
0 0 53 5
0 0 54 12
0 0 55 5
0 0 56 10
0 0 57 6
0 0 58 19
0 0 59 16
0 0 60 31
0 0 61 23
0 0 62 1
0 0 63 11
0 0 64 30
0 0 65 18
0 0 66 2
0 0 67 11
0 0 68 14
0 0 69 11
0 0 70 47
0 0 71 17
0 0 72 3
0 0 73 13
0 0 74 31
0 0 75 15
0 0 76 39
0 0 77 4
0 0 78 44
0 0 79 19
0 0 80 37
0 0 81 48
0 0 82 1
0 0 83 15
0 0 84 61
0 0 85 31
0 0 86 34
0 0 87 14
0 0 88 32
0 0 89 28
0 0 90 73
0 0 91 42
0 0 92 1
0 0 93 15
0 0 94 64
0 0 95 30
0 0 96 1
0 0 97 9
0 0 98 37
0 0 99 22
0 0 100 75
0 0 101 12
0 0 102 70
0 0 103 20
0 0 104 54
0 0 105 20
0 0 106 55
0 0 107 5
0 0 108 61
0 0 109 30
0 0 110 48
0 0 111 8
0 0 112 40
0 0 113 15
0 0 114 57
0 0 115 34
0 0 116 39
0 0 117 7
0 0 118 38
0 0 119 6
0 0 120 8
0 0 121 2
0 0 122 6
0 0 123 5
0 0 124 7
0 0 125 4
0 0 127 3
0 0 128 5
0 0 129 3
0 0 130 4
0 0 132 2
0 0 133 1
0 0 134 2
0 0 135 1
0 0 136 5
0 0 138 2
0 0 139 3
0 0 140 2
0 0 142 4
0 0 143 4
0 0 144 27
0 0 145 15
0 0 146 23
0 0 147 4
0 0 148 21
0 0 149 4
0 0 150 2
0 0 151 5
0 0 152 14
0 0 153 5
0 0 154 18
0 0 155 15
0 0 157 4
0 0 158 9
0 0 159 10
0 0 160 14
0 0 161 1
0 0 162 11
0 0 163 6
0 0 164 8
0 0 165 11
0 0 166 16
0 0 167 4
0 0 168 11
0 0 169 2
0 0 170 9
0 0 172 6
0 0 174 3
0 0 177 1
0 0 178 4
0 0 182 1
0 0 183 2
0 0 188 1
0 0 204 1
0 1 48 1
0 1 49 1
0 1 50 1
0 1 51 5
0 1 52 6
0 1 53 1
0 1 54 1
0 1 55 8
0 1 56 3
0 1 57 3
0 1 58 2
0 1 59 18
0 1 60 1
0 1 61 6
0 1 62 15
0 1 66 9
0 1 68 1
0 1 69 18
0 1 70 1
0 1 71 1
0 1 72 12
0 1 74 1
0 1 75 17
0 1 76 3
0 1 79 13
0 1 81 8
0 1 82 46
0 1 84 2
0 1 85 7
0 1 86 1
0 1 87 6
0 1 89 20
0 1 91 7
0 1 92 31
0 1 95 3
0 1 96 12
0 1 99 35
0 1 101 5
0 1 103 9
0 1 105 40
0 1 106 13
0 1 109 35
0 1 110 4
0 1 111 29
0 1 113 39
0 1 115 38
0 1 116 9
0 1 119 19
0 1 120 2
0 1 121 12
0 1 123 8
0 1 125 5
0 1 126 5
0 1 129 11
0 1 131 7
0 1 133 4
0 1 135 6
0 1 136 3
0 1 139 3
0 1 140 4
0 1 141 3
0 1 143 26
0 1 145 6
0 1 146 3
0 1 149 8
0 1 150 1
0 1 151 6
0 1 153 19
0 1 154 1
0 1 155 12
0 1 156 9
0 1 159 21
0 1 160 2
0 1 163 6
0 1 164 1
0 1 165 10
0 1 166 4
0 1 169 3
0 1 170 2
0 1 173 4
0 1 174 1
0 1 175 1
0 1 179 1
0 1 184 1
0 1 189 1
0 2 39 1
0 2 41 1
0 2 43 2
0 2 45 1
0 2 46 1
0 2 49 1
0 2 50 1
0 2 51 2
0 2 54 1
0 2 55 4
0 2 56 1
0 2 57 3
0 2 59 1
0 2 60 1
0 2 61 1
0 2 63 1
0 2 65 1
0 2 67 1
0 2 69 1
0 2 71 2
0 2 72 1
0 2 73 2
0 2 76 1
0 2 77 5
0 2 80 1
0 2 83 4
0 2 85 1
0 2 86 4
0 2 90 1
0 2 93 1
0 2 96 3
0 2 97 5
0 2 99 1
0 2 104 14
0 2 105 1
0 2 106 7
0 2 107 18
0 2 109 1
0 2 110 16
0 2 111 7
0 2 114 17
0 2 115 1
0 2 117 22
0 2 120 24
0 2 121 12
0 2 124 9
0 2 125 4
0 2 126 6
0 2 127 9
0 2 129 1
0 2 130 1
0 2 131 2
0 2 132 4
0 2 134 13
0 2 135 1
0 2 136 5
0 2 137 12
0 2 140 2
0 2 141 5
0 2 144 18
0 2 145 4
0 2 147 5
0 2 149 1
0 2 150 5
0 2 151 3
0 2 154 3
0 2 155 3
0 2 156 5
0 2 157 11
0 2 159 1
0 2 160 1
0 2 161 4
0 2 164 7
0 2 167 3
0 2 170 1
0 2 174 1
0 2 187 1
0 2 190 1
0 2 191 1
0 3 43 1
0 3 44 1
0 3 45 1
0 3 47 1
0 3 51 1
0 3 52 1
0 3 56 1
0 3 58 2
0 3 60 2
0 3 62 2
0 3 63 1
0 3 64 2
0 3 66 1
0 3 70 2
0 3 74 1
0 3 76 1
0 3 78 2
0 3 80 2
0 3 82 2
0 3 84 2
0 3 86 1
0 3 88 1
0 3 101 1
0 3 105 3
0 3 106 2
0 3 107 2
0 3 108 20
0 3 111 7
0 3 112 7
0 3 114 1
0 3 115 4
0 3 116 12
0 3 118 29
0 3 120 1
0 3 121 7
0 3 122 12
0 3 125 18
0 3 126 8
0 3 128 8
0 3 130 9
0 3 131 1
0 3 132 6
0 3 135 9
0 3 136 1
0 3 137 9
0 3 138 13
0 3 140 3
0 3 141 2
0 3 142 16
0 3 145 5
0 3 146 2
0 3 148 4
0 3 150 1
0 3 151 4
0 3 152 2
0 3 155 3
0 3 158 3
0 3 161 1
0 3 166 1
0 3 175 1
0 3 176 1
0 3 178 1
0 3 182 1
0 3 188 1
0 4 40 1
0 4 43 1
0 4 53 2
0 4 54 1
0 4 59 1
0 4 63 1
0 4 65 1
0 4 67 2
0 4 69 1
0 4 79 1
0 4 94 1
0 4 109 9
0 4 111 3
0 4 113 3
0 4 116 12
0 4 117 21
0 4 119 14
0 4 121 3
0 4 122 14
0 4 123 24
0 4 126 27
0 4 127 12
0 4 129 21
0 4 131 14
0 4 133 15
0 4 135 1
0 4 136 15
0 4 137 6
0 4 139 4
0 4 141 4
0 4 143 12
0 4 145 1
0 4 146 5
0 4 147 6
0 4 148 1
0 4 149 2
0 4 152 3
0 4 153 2
0 4 156 1
0 4 157 2
0 4 159 3
0 4 161 1
0 4 163 2
0 4 169 1
0 4 177 1
0 4 187 1
0 4 191 1
0 5 45 1
0 5 48 1
0 5 68 2
0 5 72 1
0 5 80 1
0 5 84 1
0 5 90 3
0 5 108 1
0 5 112 1
0 5 114 3
0 5 116 2
0 5 118 10
0 5 120 21
0 5 122 9
0 5 124 12
0 5 126 5
0 5 127 15
0 5 128 14
0 5 129 2
0 5 130 15
0 5 132 15
0 5 133 2
0 5 134 13
0 5 136 3
0 5 137 17
0 5 138 8
0 5 139 2
0 5 140 4
0 5 142 4
