b g r count
0 0 0 688302
0 0 1 284
0 0 23 3
0 0 24 2
0 0 25 1
0 0 26 1
0 0 27 2
0 0 28 11
0 0 30 7
0 0 31 1
0 0 33 2
0 0 34 28
0 0 35 6
0 0 36 31
0 0 37 4
0 0 38 34
0 0 39 8
0 0 40 31
0 0 41 12
0 0 43 5
0 0 44 5
0 0 45 4
0 0 46 34
0 0 47 4
0 0 48 27
0 0 49 3
0 0 50 4
0 0 51 5
0 0 53 4
0 0 54 28
0 0 55 4
0 0 56 7
0 0 57 2
0 0 58 9
0 0 59 1
0 0 60 24
0 0 61 4
0 0 63 1
0 0 64 11
0 0 65 3
0 0 67 2
0 0 70 3
0 0 71 1
0 0 74 2
0 0 75 1
0 0 76 24
0 0 77 1
0 0 78 41
0 0 79 4
0 0 80 7
0 0 81 2
0 0 83 2
0 0 84 51
0 0 85 4
0 0 86 27
0 0 87 2
0 0 88 34
0 0 89 2
0 0 90 79
0 0 91 5
0 0 93 6
0 0 94 58
0 0 95 5
0 0 97 5
0 0 98 31
0 0 99 5
0 0 100 63
0 0 101 2
0 0 102 40
0 0 103 12
0 0 104 48
0 0 105 6
0 0 106 67
0 0 107 1
0 0 108 56
0 0 109 12
0 0 110 50
0 0 111 4
0 0 112 25
0 0 113 9
0 0 114 60
0 0 115 3
0 0 116 55
0 0 118 32
0 0 119 1
0 0 120 2
0 0 122 2
0 0 124 9
0 0 128 5
0 0 130 6
0 0 132 1
0 0 134 2
0 0 135 1
0 0 136 1
0 0 138 4
0 0 139 2
0 0 140 2
0 0 142 6
0 0 143 3
0 0 144 12
0 0 146 19
0 0 147 2
0 0 148 19
0 0 149 2
0 0 150 2
0 0 152 1
0 0 153 1
0 0 154 10
0 0 155 3
0 0 157 2
0 0 158 7
0 0 159 2
0 0 160 16
0 0 162 4
0 0 163 1
0 0 164 4
0 0 166 3
0 0 168 3
0 0 172 1
0 0 184 2
0 1 0 319
0 1 1 15
0 1 2 1
0 1 22 2
0 1 29 16
0 1 31 2
0 1 32 15
0 1 35 3
0 1 36 6
0 1 39 35
0 1 41 1
0 1 42 5
0 1 45 5
0 1 46 4
0 1 49 8
0 1 51 1
0 1 52 44
0 1 55 1
0 1 56 1
0 1 57 5
0 1 59 14
0 1 61 2
0 1 62 13
0 1 66 1
0 1 69 4
0 1 75 5
0 1 76 1
0 1 79 13
0 1 80 1
0 1 81 21
0 1 82 41
0 1 85 13
0 1 86 3
0 1 87 12
0 1 89 41
0 1 91 5
0 1 92 35
0 1 95 3
0 1 96 13
0 1 99 53
0 1 101 2
0 1 103 20
0 1 105 32
0 1 106 2
0 1 109 31
0 1 110 4
0 1 111 30
0 1 113 72
0 1 115 22
0 1 116 1
0 1 119 2
0 1 121 15
0 1 123 14
0 1 125 2
0 1 126 4
0 1 129 1
0 1 131 1
0 1 133 2
0 1 135 5
0 1 139 6
0 1 141 11
0 1 143 30
0 1 145 4
0 1 146 1
0 1 149 2
0 1 151 4
0 1 153 11
0 1 155 1
0 1 156 10
0 1 159 14
0 1 160 1
0 1 163 5
0 1 165 2
0 1 169 1
0 2 0 1
0 2 27 1
0 2 37 2
0 2 50 2
0 2 51 2
0 2 67 1
0 2 77 6
0 2 80 6
0 2 81 1
0 2 83 7
0 2 86 6
0 2 87 2
0 2 90 1
0 2 93 1
0 2 96 5
0 2 97 14
0 2 100 1
0 2 102 4
0 2 104 10
0 2 106 4
0 2 107 10
0 2 110 30
0 2 111 4
0 2 114 23
